Phase	Time [s]	Speed [km/h]
Low	0	0
Low	1	0
Low	2	0
Low	3	0
Low	4	0
Low	5	0
Low	6	0
Low	7	0
Low	8	0
Low	9	0
Low	10	0
Low	11	0
Low	12	0,2
Low	13	1,7
Low	14	5,4
Low	15	9,9
Low	16	13,1
Low	17	16,9
Low	18	21,7
Low	19	26
Low	20	27,5
Low	21	28,1
Low	22	28,3
Low	23	28,8
Low	24	29,1
Low	25	30,8
Low	26	31,9
Low	27	34,1
Low	28	36,6
Low	29	39,1
Low	30	41,3
Low	31	42,5
Low	32	43,3
Low	33	43,9
Low	34	44,4
Low	35	44,5
Low	36	44,2
Low	37	42,7
Low	38	39,9
Low	39	37
Low	40	34,6
Low	41	32,3
Low	42	29
Low	43	25,1
Low	44	22,2
Low	45	20,9
Low	46	20,4
Low	47	19,5
Low	48	18,4
Low	49	17,8
Low	50	17,8
Low	51	17,4
Low	52	15,7
Low	53	13,1
Low	54	12,1
Low	55	12
Low	56	12
Low	57	12
Low	58	12,3
Low	59	12,6
Low	60	14,7
Low	61	15,3
Low	62	15,9
Low	63	16,2
Low	64	17,1
Low	65	17,8
Low	66	18,1
Low	67	18,4
Low	68	20,3
Low	69	23,2
Low	70	26,5
Low	71	29,8
Low	72	32,6
Low	73	34,4
Low	74	35,5
Low	75	36,4
Low	76	37,4
Low	77	38,5
Low	78	39,3
Low	79	39,5
Low	80	39
Low	81	38,5
Low	82	37,3
Low	83	37
Low	84	36,7
Low	85	35,9
Low	86	35,3
Low	87	34,6
Low	88	34,2
Low	89	31,9
Low	90	27,3
Low	91	22
Low	92	17
Low	93	14,2
Low	94	12
Low	95	9,1
Low	96	5,8
Low	97	3,6
Low	98	2,2
Low	99	0
Low	100	0
Low	101	0
Low	102	0
Low	103	0
Low	104	0
Low	105	0
Low	106	0
Low	107	0
Low	108	0
Low	109	0
Low	110	0
Low	111	0
Low	112	0
Low	113	0
Low	114	0
Low	115	0
Low	116	0
Low	117	0
Low	118	0
Low	119	0
Low	120	0
Low	121	0
Low	122	0
Low	123	0
Low	124	0
Low	125	0
Low	126	0
Low	127	0
Low	128	0
Low	129	0
Low	130	0
Low	131	0
Low	132	0
Low	133	0
Low	134	0
Low	135	0
Low	136	0
Low	137	0
Low	138	0,2
Low	139	1,9
Low	140	6,1
Low	141	11,7
Low	142	16,4
Low	143	18,9
Low	144	19,9
Low	145	20,8
Low	146	22,8
Low	147	25,4
Low	148	27,7
Low	149	29,2
Low	150	29,8
Low	151	29,4
Low	152	27,2
Low	153	22,6
Low	154	17,3
Low	155	13,3
Low	156	12
Low	157	12,6
Low	158	14,1
Low	159	17,2
Low	160	20,1
Low	161	23,4
Low	162	25,5
Low	163	27,6
Low	164	29,5
Low	165	31,1
Low	166	32,1
Low	167	33,2
Low	168	35,2
Low	169	37,2
Low	170	38
Low	171	37,4
Low	172	35,1
Low	173	31
Low	174	27,1
Low	175	25,3
Low	176	25,1
Low	177	25,9
Low	178	27,8
Low	179	29,2
Low	180	29,6
Low	181	29,5
Low	182	29,2
Low	183	28,3
Low	184	26,1
Low	185	23,6
Low	186	21
Low	187	18,9
Low	188	17,1
Low	189	15,7
Low	190	14,5
Low	191	13,7
Low	192	12,9
Low	193	12,5
Low	194	12,2
Low	195	12
Low	196	12
Low	197	12
Low	198	12
Low	199	12,5
Low	200	13
Low	201	14
Low	202	15
Low	203	16,5
Low	204	19
Low	205	21,2
Low	206	23,8
Low	207	26,9
Low	208	29,6
Low	209	32
Low	210	35,2
Low	211	37,5
Low	212	39,2
Low	213	40,5
Low	214	41,6
Low	215	43,1
Low	216	45
Low	217	47,1
Low	218	49
Low	219	50,6
Low	220	51,8
Low	221	52,7
Low	222	53,1
Low	223	53,5
Low	224	53,8
Low	225	54,2
Low	226	54,8
Low	227	55,3
Low	228	55,8
Low	229	56,2
Low	230	56,5
Low	231	56,5
Low	232	56,2
Low	233	54,9
Low	234	52,9
Low	235	51
Low	236	49,8
Low	237	49,2
Low	238	48,4
Low	239	46,9
Low	240	44,3
Low	241	41,5
Low	242	39,5
Low	243	37
Low	244	34,6
Low	245	32,3
Low	246	29
Low	247	25,1
Low	248	22,2
Low	249	20,9
Low	250	20,4
Low	251	19,5
Low	252	18,4
Low	253	17,8
Low	254	17,8
Low	255	17,4
Low	256	15,7
Low	257	14,5
Low	258	15,4
Low	259	17,9
Low	260	20,6
Low	261	23,2
Low	262	25,7
Low	263	28,7
Low	264	32,5
Low	265	36,1
Low	266	39
Low	267	40,8
Low	268	42,9
Low	269	44,4
Low	270	45,9
Low	271	46
Low	272	45,6
Low	273	45,3
Low	274	43,7
Low	275	40,8
Low	276	38
Low	277	34,4
Low	278	30,9
Low	279	25,5
Low	280	21,4
Low	281	20,2
Low	282	22,9
Low	283	26,6
Low	284	30,2
Low	285	34,1
Low	286	37,4
Low	287	40,7
Low	288	44
Low	289	47,3
Low	290	49,2
Low	291	49,8
Low	292	49,2
Low	293	48,1
Low	294	47,3
Low	295	46,8
Low	296	46,7
Low	297	46,8
Low	298	47,1
Low	299	47,3
Low	300	47,3
Low	301	47,1
Low	302	46,6
Low	303	45,8
Low	304	44,8
Low	305	43,3
Low	306	41,8
Low	307	40,8
Low	308	40,3
Low	309	40,1
Low	310	39,7
Low	311	39,2
Low	312	38,5
Low	313	37,4
Low	314	36
Low	315	34,4
Low	316	33
Low	317	31,7
Low	318	30
Low	319	28
Low	320	26,1
Low	321	25,6
Low	322	24,9
Low	323	24,9
Low	324	24,3
Low	325	23,9
Low	326	23,9
Low	327	23,6
Low	328	23,3
Low	329	20,5
Low	330	17,5
Low	331	16,9
Low	332	16,7
Low	333	15,9
Low	334	15,6
Low	335	15
Low	336	14,5
Low	337	14,3
Low	338	14,5
Low	339	15,4
Low	340	17,8
Low	341	21,1
Low	342	24,1
Low	343	25
Low	344	25,3
Low	345	25,5
Low	346	26,4
Low	347	26,6
Low	348	27,1
Low	349	27,7
Low	350	28,1
Low	351	28,2
Low	352	28,1
Low	353	28
Low	354	27,9
Low	355	27,9
Low	356	28,1
Low	357	28,2
Low	358	28
Low	359	26,9
Low	360	25
Low	361	23,2
Low	362	21,9
Low	363	21,1
Low	364	20,7
Low	365	20,7
Low	366	20,8
Low	367	21,2
Low	368	22,1
Low	369	23,5
Low	370	24,3
Low	371	24,5
Low	372	23,8
Low	373	21,3
Low	374	17,7
Low	375	14,4
Low	376	11,9
Low	377	10,2
Low	378	8,9
Low	379	8
Low	380	7,2
Low	381	6,1
Low	382	4,9
Low	383	3,7
Low	384	2,3
Low	385	0,9
Low	386	0
Low	387	0
Low	388	0
Low	389	0
Low	390	0
Low	391	0
Low	392	0,5
Low	393	2,1
Low	394	4,8
Low	395	8,3
Low	396	12,3
Low	397	16,6
Low	398	20,9
Low	399	24,2
Low	400	25,6
Low	401	25,6
Low	402	24,9
Low	403	23,3
Low	404	21,6
Low	405	20,2
Low	406	18,7
Low	407	17
Low	408	15,3
Low	409	14,2
Low	410	13,9
Low	411	14
Low	412	14,2
Low	413	14,5
Low	414	14,9
Low	415	15,9
Low	416	17,4
Low	417	18,7
Low	418	19,1
Low	419	18,8
Low	420	17,6
Low	421	16,6
Low	422	16,2
Low	423	16,4
Low	424	17,2
Low	425	19,1
Low	426	22,6
Low	427	27,4
Low	428	31,6
Low	429	33,4
Low	430	33,5
Low	431	32,8
Low	432	31,9
Low	433	31,3
Low	434	31,1
Low	435	30,6
Low	436	29,2
Low	437	26,7
Low	438	23
Low	439	18,2
Low	440	12,9
Low	441	7,7
Low	442	3,8
Low	443	1,3
Low	444	0,2
Low	445	0
Low	446	0
Low	447	0
Low	448	0
Low	449	0
Low	450	0
Low	451	0
Low	452	0
Low	453	0
Low	454	0
Low	455	0
Low	456	0
Low	457	0
Low	458	0
Low	459	0
Low	460	0
Low	461	0
Low	462	0
Low	463	0
Low	464	0
Low	465	0
Low	466	0
Low	467	0
Low	468	0
Low	469	0
Low	470	0
Low	471	0
Low	472	0
Low	473	0
Low	474	0
Low	475	0
Low	476	0
Low	477	0
Low	478	0
Low	479	0
Low	480	0
Low	481	0
Low	482	0
Low	483	0
Low	484	0
Low	485	0
Low	486	0
Low	487	0
Low	488	0
Low	489	0
Low	490	0
Low	491	0
Low	492	0
Low	493	0
Low	494	0
Low	495	0
Low	496	0
Low	497	0
Low	498	0
Low	499	0
Low	500	0
Low	501	0
Low	502	0
Low	503	0
Low	504	0
Low	505	0
Low	506	0
Low	507	0
Low	508	0
Low	509	0
Low	510	0
Low	511	0
Low	512	0,5
Low	513	2,5
Low	514	6,6
Low	515	11,8
Low	516	16,8
Low	517	20,5
Low	518	21,9
Low	519	21,9
Low	520	21,3
Low	521	20,3
Low	522	19,2
Low	523	17,8
Low	524	15,5
Low	525	11,9
Low	526	7,6
Low	527	4
Low	528	2
Low	529	1
Low	530	0
Low	531	0
Low	532	0
Low	533	0,2
Low	534	1,2
Low	535	3,2
Low	536	5,2
Low	537	8,2
Low	538	13
Low	539	18,8
Low	540	23,1
Low	541	24,5
Low	542	24,5
Low	543	24,3
Low	544	23,6
Low	545	22,3
Low	546	20,1
Low	547	18,5
Low	548	17,2
Low	549	16,3
Low	550	15,4
Low	551	14,7
Low	552	14,3
Low	553	13,7
Low	554	13,3
Low	555	13,1
Low	556	13,1
Low	557	13,3
Low	558	13,8
Low	559	14,5
Low	560	16,5
Low	561	17
Low	562	17
Low	563	17
Low	564	15,4
Low	565	10,1
Low	566	4,8
Low	567	0
Low	568	0
Low	569	0
Low	570	0
Low	571	0
Low	572	0
Low	573	0
Low	574	0
Low	575	0
Low	576	0
Low	577	0
Low	578	0
Low	579	0
Low	580	0
Low	581	0
Low	582	0
Low	583	0
Low	584	0
Low	585	0
Low	586	0
Low	587	0
Low	588	0
Low	589	0
Medium	590	0
Medium	591	0
Medium	592	0
Medium	593	0
Medium	594	0
Medium	595	0
Medium	596	0
Medium	597	0
Medium	598	0
Medium	599	0
Medium	600	0
Medium	601	1
Medium	602	2,1
Medium	603	5,2
Medium	604	9,2
Medium	605	13,5
Medium	606	18,1
Medium	607	22,3
Medium	608	26
Medium	609	29,3
Medium	610	32,8
Medium	611	36
Medium	612	39,2
Medium	613	42,5
Medium	614	45,7
Medium	615	48,2
Medium	616	48,4
Medium	617	48,2
Medium	618	47,8
Medium	619	47
Medium	620	45,9
Medium	621	44,9
Medium	622	44,4
Medium	623	44,3
Medium	624	44,5
Medium	625	45,1
Medium	626	45,7
Medium	627	46
Medium	628	46
Medium	629	46
Medium	630	46,1
Medium	631	46,7
Medium	632	47,7
Medium	633	48,9
Medium	634	50,3
Medium	635	51,6
Medium	636	52,6
Medium	637	53
Medium	638	53
Medium	639	52,9
Medium	640	52,7
Medium	641	52,6
Medium	642	53,1
Medium	643	54,3
Medium	644	55,2
Medium	645	55,5
Medium	646	55,9
Medium	647	56,3
Medium	648	56,7
Medium	649	56,9
Medium	650	56,8
Medium	651	56
Medium	652	54,2
Medium	653	52,1
Medium	654	50,1
Medium	655	47,2
Medium	656	43,2
Medium	657	39,2
Medium	658	36,5
Medium	659	34,3
Medium	660	31
Medium	661	26
Medium	662	20,7
Medium	663	15,4
Medium	664	13,1
Medium	665	12
Medium	666	12,5
Medium	667	14
Medium	668	19
Medium	669	23,2
Medium	670	28
Medium	671	32
Medium	672	34
Medium	673	36
Medium	674	38
Medium	675	40
Medium	676	40,3
Medium	677	40,5
Medium	678	39
Medium	679	35,7
Medium	680	31,8
Medium	681	27,1
Medium	682	22,8
Medium	683	21,1
Medium	684	18,9
Medium	685	18,9
Medium	686	21,3
Medium	687	23,9
Medium	688	25,9
Medium	689	28,4
Medium	690	30,3
Medium	691	30,9
Medium	692	31,1
Medium	693	31,8
Medium	694	32,7
Medium	695	33,2
Medium	696	32,4
Medium	697	28,3
Medium	698	25,8
Medium	699	23,1
Medium	700	21,8
Medium	701	21,2
Medium	702	21
Medium	703	21
Medium	704	20,9
Medium	705	19,9
Medium	706	17,9
Medium	707	15,1
Medium	708	12,8
Medium	709	12
Medium	710	13,2
Medium	711	17,1
Medium	712	21,1
Medium	713	21,8
Medium	714	21,2
Medium	715	18,5
Medium	716	13,9
Medium	717	12
Medium	718	12
Medium	719	13
Medium	720	16,3
Medium	721	20,5
Medium	722	23,9
Medium	723	26
Medium	724	28
Medium	725	31,5
Medium	726	33,4
Medium	727	36
Medium	728	37,8
Medium	729	40,2
Medium	730	41,6
Medium	731	41,9
Medium	732	42
Medium	733	42,2
Medium	734	42,4
Medium	735	42,7
Medium	736	43,1
Medium	737	43,7
Medium	738	44
Medium	739	44,1
Medium	740	45,3
Medium	741	46,4
Medium	742	47,2
Medium	743	47,3
Medium	744	47,4
Medium	745	47,4
Medium	746	47,5
Medium	747	47,9
Medium	748	48,6
Medium	749	49,4
Medium	750	49,8
Medium	751	49,8
Medium	752	49,7
Medium	753	49,3
Medium	754	48,5
Medium	755	47,6
Medium	756	46,3
Medium	757	43,7
Medium	758	39,3
Medium	759	34,1
Medium	760	29
Medium	761	23,7
Medium	762	18,4
Medium	763	14,3
Medium	764	12
Medium	765	12,8
Medium	766	16
Medium	767	20,4
Medium	768	24
Medium	769	29
Medium	770	32,2
Medium	771	36,8
Medium	772	39,4
Medium	773	43,2
Medium	774	45,8
Medium	775	49,2
Medium	776	51,4
Medium	777	54,2
Medium	778	56
Medium	779	58,3
Medium	780	59,8
Medium	781	61,7
Medium	782	62,7
Medium	783	63,3
Medium	784	63,6
Medium	785	64
Medium	786	64,7
Medium	787	65,2
Medium	788	65,3
Medium	789	65,3
Medium	790	65,4
Medium	791	65,7
Medium	792	66
Medium	793	65,6
Medium	794	63,5
Medium	795	59,7
Medium	796	54,6
Medium	797	49,3
Medium	798	44,9
Medium	799	42,3
Medium	800	41,4
Medium	801	41,3
Medium	802	43
Medium	803	45
Medium	804	46,5
Medium	805	48,3
Medium	806	49,5
Medium	807	51,2
Medium	808	52,2
Medium	809	51,6
Medium	810	49,7
Medium	811	47,4
Medium	812	43,7
Medium	813	39,7
Medium	814	35,5
Medium	815	31,1
Medium	816	26,3
Medium	817	21,9
Medium	818	18
